userid,orderid,orderTime,orderType,city,country,continent,,,,
1.00E+11,1000015,1481714516,0,柏林,德国,欧洲,欧洲0,1908,百分比,0.755045509
1.00E+11,1000014,1501959643,0,旧金山,美国,北美洲,欧洲1,619,,0.244954491
1.00E+11,1000033,1499440296,0,巴黎,法国,欧洲,北美0,2975,,0.866841492
1.00E+11,1000036,1480601668,0,纽约,美国,北美洲,北美1,457,,0.133158508
1.00E+11,1000034,1479146723,0,巴厘岛,印度尼西亚,亚洲,亚洲0,10260,,0.851169736
1.00E+11,1000040,1486739692,0,巴塞罗那,西班牙,欧洲,亚洲1,1794,,0.148830264
1.00E+11,1000042,1498751734,0,东京,日本,亚洲,大洋洲0,2333,,0.887747336
1.00E+11,1000050,1500852591,0,珀斯,澳大利亚,大洋洲,大洋洲1,295,,0.112252664
1.00E+11,1000051,1500079241,0,珀斯,澳大利亚,大洋洲,非洲1,3,,0.272727273
1.00E+11,1000047,1500493418,0,珀斯,澳大利亚,大洋洲,非洲0,8,,0.727272727
1.00E+11,1000052,1497262498,0,新加坡,新加坡,亚洲,南美洲0,0,,0
1.00E+11,1000068,1490179888,0,东京,日本,亚洲,南美洲1,1,,1
1.00E+11,1000066,1483474741,0,东京,日本,亚洲,,,,
1.00E+11,1000070,1483474741,1,东京,日本,亚洲,,,,
1.00E+11,1000071,1486489511,0,普吉岛,泰国,亚洲,,,,
1.00E+11,1000055,1483474741,0,东京,日本,亚洲,,,,
1.00E+11,1000054,1483474741,1,东京,日本,亚洲,,,,
1.00E+11,1000077,1483528734,0,伦敦,英国,欧洲,,,,
1.00E+11,1000079,1495914336,0,纽约,美国,北美洲,,,,
1.00E+11,1000091,1494677063,0,巴黎,法国,欧洲,,,,
1.00E+11,1000092,1494703585,1,巴黎,法国,欧洲,,,,
1.00E+11,1000094,1495114566,1,阿姆斯特丹,荷兰,欧洲,,,,
1.00E+11,1000095,1494700255,1,巴黎,法国,欧洲,,,,
1.00E+11,1000096,1494706992,1,布鲁塞尔,比利时,欧洲,,,,
1.00E+11,1000134,1497347012,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1000135,1497346315,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1000136,1497347740,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1000163,1488819400,0,大阪,日本,亚洲,,,,
1.00E+11,1000164,1488884909,0,大阪,日本,亚洲,,,,
1.00E+11,1000165,1488883934,0,大阪,日本,亚洲,,,,
1.00E+11,1000166,1493331651,0,大阪,日本,亚洲,,,,
1.00E+11,1000194,1478521318,0,纽约,美国,北美洲,,,,
1.00E+11,1000196,1491130015,1,曼谷,泰国,亚洲,,,,
1.00E+11,1000202,1502097414,0,岘港,越南,亚洲,,,,
1.00E+11,1000203,1494239682,0,曼谷,泰国,亚洲,,,,
1.00E+11,1000225,1502416344,0,东京,日本,亚洲,,,,
1.00E+11,1000250,1491386413,0,曼谷,泰国,亚洲,,,,
1.00E+11,1000258,1478537520,0,布里斯班,澳大利亚,大洋洲,,,,
1.00E+11,1000269,1501162121,0,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1000303,1487067644,0,曼谷,泰国,亚洲,,,,
1.00E+11,1000300,1480689904,1,首尔,韩国,亚洲,,,,
1.00E+11,1000354,1478926274,0,夏威夷欧胡岛（檀香山）,美国,北美洲,,,,
1.00E+11,1000357,1481972953,0,曼谷,泰国,亚洲,,,,
1.00E+11,1000359,1480075110,0,夏威夷欧胡岛（檀香山）,美国,北美洲,,,,
1.00E+11,1000418,1481822607,0,巴黎,法国,欧洲,,,,
1.00E+11,1000420,1483973020,1,巴黎,法国,欧洲,,,,
1.00E+11,1000433,1495130742,0,京都,日本,亚洲,,,,
1.00E+11,1000435,1478529504,0,悉尼,澳大利亚,大洋洲,,,,
1.00E+11,1000460,1497913304,0,台北,中国台湾,亚洲,,,,
1.00E+11,1000463,1504442455,0,北海道--札幌,日本,亚洲,,,,
1.00E+11,1000464,1504442680,1,北海道--札幌,日本,亚洲,,,,
1.00E+11,1000465,1499249295,1,长崎,日本,亚洲,,,,
1.00E+11,1000486,1491989391,0,台北,中国台湾,亚洲,,,,
1.00E+11,1000493,1496761458,0,香港,中国香港,亚洲,,,,
1.00E+11,1000495,1497199710,0,香港,中国香港,亚洲,,,,
1.00E+11,1000504,1488798287,1,西雅图,美国,北美洲,,,,
1.00E+11,1000507,1495481860,0,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1000508,1495391425,0,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1000509,1495391064,0,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1000510,1495392096,0,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1000511,1495481054,1,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1000512,1495476113,1,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1000582,1499731484,0,济州岛,韩国,亚洲,,,,
1.00E+11,1000584,1487357337,0,大阪,日本,亚洲,,,,
1.00E+11,1000585,1480954469,0,首尔,韩国,亚洲,,,,
1.00E+11,1000595,1497866998,1,济州岛,韩国,亚洲,,,,
1.00E+11,1000591,1480515669,1,巴厘岛,印度尼西亚,亚洲,,,,
1.00E+11,1000594,1480456521,1,首尔,韩国,亚洲,,,,
1.00E+11,1000586,1499438899,1,济州岛,韩国,亚洲,,,,
1.00E+11,1000590,1480456198,1,首尔,韩国,亚洲,,,,
1.00E+11,1000589,1497865681,1,济州岛,韩国,亚洲,,,,
1.00E+11,1000588,1491836666,1,巴厘岛,印度尼西亚,亚洲,,,,
1.00E+11,1000587,1480515124,1,济州岛,韩国,亚洲,,,,
1.00E+11,1000612,1491734533,0,温哥华,加拿大,北美洲,,,,
1.00E+11,1000611,1491744123,0,纽约,美国,北美洲,,,,
1.00E+11,1000613,1491747912,0,多伦多,加拿大,北美洲,,,,
1.00E+11,1000610,1491736183,0,拉斯维加斯,美国,北美洲,,,,
1.00E+11,1000607,1491743812,0,多伦多,加拿大,北美洲,,,,
1.00E+11,1000609,1491736962,0,拉斯维加斯,美国,北美洲,,,,
1.00E+11,1000608,1491735296,0,温哥华,加拿大,北美洲,,,,
1.00E+11,1000626,1494594620,0,吉隆坡,马来西亚,亚洲,,,,
1.00E+11,1000638,1492509827,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1000645,1491734756,0,吉隆坡,马来西亚,亚洲,,,,
1.00E+11,1000647,1491744544,0,吉隆坡,马来西亚,亚洲,,,,
1.00E+11,1000674,1478935580,0,旧金山,美国,北美洲,,,,
1.00E+11,1000686,1500021938,0,奥克兰,新西兰,大洋洲,,,,
1.00E+11,1000688,1494720263,0,高雄,中国台湾,亚洲,,,,
1.00E+11,1000692,1502858755,0,巴黎,法国,欧洲,,,,
1.00E+11,1000718,1491512424,0,大阪,日本,亚洲,,,,
1.00E+11,1000724,1494715492,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1000726,1494367995,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1000728,1491585982,0,巴黎,法国,欧洲,,,,
1.00E+11,1000738,1494857647,0,东京,日本,亚洲,,,,
1.00E+11,1000740,1502744540,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1000742,1502744151,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1000750,1487598306,1,伦敦,英国,欧洲,,,,
1.00E+11,1000768,1492631994,0,凯恩斯,澳大利亚,大洋洲,,,,
1.00E+11,1000760,1492631863,0,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1000769,1494628747,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1000792,1485084332,0,奥克兰,新西兰,大洋洲,,,,
1.00E+11,1000787,1483991513,0,奥克兰,新西兰,大洋洲,,,,
1.00E+11,1000800,1502622551,0,东京,日本,亚洲,,,,
1.00E+11,1000801,1485083433,0,米兰,意大利,欧洲,,,,
1.00E+11,1000802,1502622156,0,东京,日本,亚洲,,,,
1.00E+11,1000810,1489501537,0,东京,日本,亚洲,,,,
1.00E+11,1000811,1489501235,0,东京,日本,亚洲,,,,
1.00E+11,1000813,1489499825,0,东京,日本,亚洲,,,,
1.00E+11,1000829,1491732115,0,洛杉矶,美国,北美洲,,,,
1.00E+11,1000831,1495104609,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1000832,1495105284,0,曼谷,泰国,亚洲,,,,
1.00E+11,1000833,1495915895,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1000856,1491127214,0,甲米,泰国,亚洲,,,,
1.00E+11,1000863,1480286780,0,罗马,意大利,欧洲,,,,
1.00E+11,1000895,1492458053,0,巴尔的摩,美国,北美洲,,,,
1.00E+11,1000893,1492041650,0,华盛顿,美国,北美洲,,,,
1.00E+11,1000894,1492757338,0,纽约,美国,北美洲,,,,
1.00E+11,1000892,1492641139,1,华盛顿,美国,北美洲,,,,
1.00E+11,1000906,1498087162,0,大阪,日本,亚洲,,,,
1.00E+11,1000905,1498521143,1,大阪,日本,亚洲,,,,
1.00E+11,1000904,1482755448,1,新加坡,新加坡,亚洲,,,,
1.00E+11,1000907,1498130852,1,大阪,日本,亚洲,,,,
1.00E+11,1000902,1498161846,1,大阪,日本,亚洲,,,,
1.00E+11,1000928,1478944199,0,北海道--札幌,日本,亚洲,,,,
1.00E+11,1000923,1500402899,0,东京,日本,亚洲,,,,
1.00E+11,1000926,1478610165,0,大阪,日本,亚洲,,,,
1.00E+11,1000917,1478976007,0,北海道--札幌,日本,亚洲,,,,
1.00E+11,1000969,1495330365,0,巴塞罗那,西班牙,欧洲,,,,
1.00E+11,1000971,1494535217,0,巴塞罗那,西班牙,欧洲,,,,
1.00E+11,1000968,1494535516,0,巴塞罗那,西班牙,欧洲,,,,
1.00E+11,1000979,1498879807,0,雅加达,印度尼西亚,亚洲,,,,
1.00E+11,1000980,1494237772,0,巴厘岛,印度尼西亚,亚洲,,,,
1.00E+11,1000982,1499464239,0,普吉岛,泰国,亚洲,,,,
1.00E+11,1000987,1493392416,0,爱丁堡,英国,欧洲,,,,
1.00E+11,1001002,1499099010,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1001005,1502439815,0,东京,日本,亚洲,,,,
1.00E+11,1001004,1490955683,0,华盛顿,美国,北美洲,,,,
1.00E+11,1001001,1486644726,0,巴黎,法国,欧洲,,,,
1.00E+11,1001000,1491613267,1,波士顿,美国,北美洲,,,,
1.00E+11,1001003,1502578746,1,东京,日本,亚洲,,,,
1.00E+11,1000999,1486644862,1,巴黎,法国,欧洲,,,,
1.00E+11,1000997,1491165105,1,华盛顿,美国,北美洲,,,,
1.00E+11,1000996,1491363752,1,纽约,美国,北美洲,,,,
1.00E+11,1000994,1479137141,0,济州岛,韩国,亚洲,,,,
1.00E+11,1001007,1494194711,0,香港,中国香港,亚洲,,,,
1.00E+11,1001018,1503849397,1,京都,日本,亚洲,,,,
1.00E+11,1001047,1488196628,0,曼谷,泰国,亚洲,,,,
1.00E+11,1001052,1480083727,0,清迈,泰国,亚洲,,,,
1.00E+11,1001062,1482304520,0,波士顿,美国,北美洲,,,,
1.00E+11,1001093,1499386409,0,新加坡,新加坡,亚洲,,,,
1.00E+11,1001101,1487399060,0,纽约,美国,北美洲,,,,
1.00E+11,1001120,1490691615,0,台北,中国台湾,亚洲,,,,
1.00E+11,1001119,1490668837,0,台北,中国台湾,亚洲,,,,
1.00E+11,1001117,1490676391,1,花莲,中国台湾,亚洲,,,,
1.00E+11,1001116,1490676871,1,嘉义,中国台湾,亚洲,,,,
1.00E+11,1001115,1490676741,1,垦丁,中国台湾,亚洲,,,,
1.00E+11,1001122,1490676970,1,台中,中国台湾,亚洲,,,,
1.00E+11,1001114,1490678743,1,台中,中国台湾,亚洲,,,,
1.00E+11,1001113,1490669077,1,台北,中国台湾,亚洲,,,,
1.00E+11,1001111,1490712000,1,花莲,中国台湾,亚洲,,,,
1.00E+11,1001109,1490672898,1,花莲,中国台湾,亚洲,,,,
1.00E+11,1001108,1490674720,1,垦丁,中国台湾,亚洲,,,,
1.00E+11,1001107,1490692047,0,台北,中国台湾,亚洲,,,,
1.00E+11,1001124,1483028595,0,东京,日本,亚洲,,,,
1.00E+11,1001129,1491213614,0,曼谷,泰国,亚洲,,,,
1.00E+11,1001126,1489053989,0,普吉岛,泰国,亚洲,,,,
1.00E+11,1001177,1497086038,0,吉隆坡,马来西亚,亚洲,,,,
1.00E+11,1001178,1497098083,0,吉隆坡,马来西亚,亚洲,,,,
1.00E+11,1001181,1490994592,0,伦敦,英国,欧洲,,,,
1.00E+11,1001183,1493038891,0,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1001184,1494419049,0,悉尼,澳大利亚,大洋洲,,,,
1.00E+11,1001185,1493039082,0,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1001196,1495205520,0,大阪,日本,亚洲,,,,
1.00E+11,1001214,1490954418,0,曼谷,泰国,亚洲,,,,
1.00E+11,1001215,1494261824,0,吉隆坡,马来西亚,亚洲,,,,
1.00E+11,1001228,1499416279,0,凯恩斯,澳大利亚,大洋洲,,,,
1.00E+11,1001229,1498742242,0,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1001230,1498742785,0,墨尔本,澳大利亚,大洋洲,,,,
1.00E+11,1001234,1491410028,0,芽庄,越南,亚洲,,,,
1.00E+11,1001237,1492100063,0,罗马,意大利,欧洲,,,,
1.00E+11,1001243,1493309060,1,东京,日本,亚洲,,,,
1.00E+11,1001250,1489730630,0,奥兰多,美国,北美洲,,,,
1.00E+11,1001259,1482862933,1,东京,日本,亚洲,,,,
1.00E+11,1001260,1482863271,1,大阪,日本,亚洲,,,,
1.00E+11,1001267,1497104750,1,大阪,日本,亚洲,,,,
1.00E+11,1001265,1497103161,0,东京,日本,亚洲,,,,
1.00E+11,1001270,1498336698,0,巴黎,法国,欧洲,,,,
1.00E+11,1001272,1480800718,0,旧金山,美国,北美洲,,,,
1.00E+11,1001275,1501194336,1,布鲁塞尔,比利时,欧洲,,,,
1.00E+11,1001279,1499523614,0,东京,日本,亚洲,,,,
1.00E+11,1001280,1497671106,0,东京,日本,亚洲,,,,
1.00E+11,1001278,1497672003,0,东京,日本,亚洲,,,,
1.00E+11,1001288,1494686552,0,高雄,中国台湾,亚洲,,,,
1.00E+11,1001289,1490819835,0,大阪,日本,亚洲,,,,
1.00E+11,1001295,1486074572,0,巴黎,法国,欧洲,,,,
1.00E+11,1001297,1486073522,0,巴黎,法国,欧洲,,,,
1.00E+11,1001296,1486165985,1,罗马,意大利,欧洲,,,,
1.00E+11,1001298,1486166548,1,罗马,意大利,欧洲,,,,
1.00E+11,1001294,1486162916,1,苏黎世,瑞士,欧洲,,,,
1.00E+11,1001293,1486165540,1,罗马,意大利,欧洲,,,,
1.00E+11,1001306,1497311764,0,波士顿,美国,北美洲,,,,
1.10E+11,1001340,1478864617,0,京都,日本,亚洲,,,,
1.10E+11,1001342,1503574683,0,墨尔本,澳大利亚,大洋洲,,,,
1.10E+11,1001356,1492509805,0,伦敦,英国,欧洲,,,,
1.10E+11,1001362,1478682202,0,阿德莱德,澳大利亚,大洋洲,,,,
1.10E+11,1001365,1499348257,0,大阪,日本,亚洲,,,,
1.10E+11,1001366,1499348982,0,大阪,日本,亚洲,,,,
1.10E+11,1001367,1499296534,0,大阪,日本,亚洲,,,,
1.10E+11,1001375,1498516821,0,温哥华,加拿大,北美洲,,,,
1.10E+11,1001374,1498514512,0,温哥华,加拿大,北美洲,,,,
1.10E+11,1001373,1498517106,1,温哥华,加拿大,北美洲,,,,
1.10E+11,1001372,1498514809,1,温哥华,加拿大,北美洲,,,,
1.10E+11,1001371,1498515286,1,温哥华,加拿大,北美洲,,,,
1.10E+11,1001380,1501676294,1,东京,日本,亚洲,,,,
1.10E+11,1001381,1499607977,0,吉隆坡,马来西亚,亚洲,,,,
1.10E+11,1001392,1500579026,0,东京,日本,亚洲,,,,
1.10E+11,1001393,1499356651,0,东京,日本,亚洲,,,,
1.10E+11,1001397,1500359133,1,东京,日本,亚洲,,,,
1.10E+11,1001396,1500453526,1,东京,日本,亚洲,,,,
1.10E+11,1001404,1499054371,0,伦敦,英国,欧洲,,,,
1.10E+11,1001415,1498839966,1,垦丁,中国台湾,亚洲,,,,
1.10E+11,1001421,1500155312,0,台北,中国台湾,亚洲,,,,
1.10E+11,1001422,1500081813,0,台北,中国台湾,亚洲,,,,
1.10E+11,1001424,1500011699,0,纽约,美国,北美洲,,,,
1.10E+11,1001429,1500118530,0,卡尔加里,加拿大,北美洲,,,,
1.10E+11,1001433,1498928880,0,奥克兰,新西兰,大洋洲,,,,
1.10E+11,1001434,1499600766,0,奥克兰,新西兰,大洋洲,,,,
1.10E+11,1001439,1499203757,0,新加坡,新加坡,亚洲,,,,
1.10E+11,1001447,1499933494,0,东京,日本,亚洲,,,,
1.10E+11,1001456,1498670477,0,台北,中国台湾,亚洲,,,,
1.10E+11,1001457,1498558477,0,台北,中国台湾,亚洲,,,,
1.10E+11,1001458,1499459960,1,台北,中国台湾,亚洲,,,,
1.10E+11,1001459,1499465364,1,台北,中国台湾,亚洲,,,,
1.10E+11,1001460,1499462040,1,台北,中国台湾,亚洲,,,,
1.10E+11,1001461,1499464208,1,台北,中国台湾,亚洲,,,,
1.10E+11,1001463,1498478204,0,香港,中国香港,亚洲,,,,
1.10E+11,1001470,1499197158,0,悉尼,澳大利亚,大洋洲,,,,
1.10E+11,1001472,1500914942,0,巴黎,法国,欧洲,,,,
1.10E+11,1001474,1500915176,0,巴黎,法国,欧洲,,,,
1.10E+11,1001475,1499371404,0,布里斯班,澳大利亚,大洋洲,,,,
1.10E+11,1001476,1499128978,0,布里斯班,澳大利亚,大洋洲,,,,
1.10E+11,1001482,1499346330,0,纽约,美国,北美洲,,,,
1.10E+11,1001502,1499724345,0,伦敦,英国,欧洲,,,,
1.10E+11,1001515,1498997932,0,济州岛,韩国,亚洲,,,,
1.10E+11,1001521,1498742165,0,拉斯维加斯,美国,北美洲,,,,
1.10E+11,1001520,1498725156,0,拉斯维加斯,美国,北美洲,,,,
1.10E+11,1001519,1498658405,0,拉斯维加斯,美国,北美洲,,,,
1.10E+11,1001526,1499126575,1,旧金山,美国,北美洲,,,,
1.10E+11,1001528,1499215580,0,墨尔本,澳大利亚,大洋洲,,,,
1.10E+11,1001533,1501539032,0,普吉岛,泰国,亚洲,,,,
1.10E+11,1001538,1503608818,0,大阪,日本,亚洲,,,,
1.10E+11,1001545,1499099197,0,新加坡,新加坡,亚洲,,,,
1.10E+11,1001550,1499160027,0,新加坡,新加坡,亚洲,,,,
1.10E+11,1001558,1500078035,0,纽约,美国,北美洲,,,,
1.10E+11,1001561,1499522374,0,苏梅岛,泰国,亚洲,,,,
1.10E+11,1001559,1499523727,0,苏梅岛,泰国,亚洲,,,,
1.10E+11,1001562,1499544374,0,槟城,马来西亚,亚洲,,,,
1.10E+11,1001566,1499609240,0,布里斯班,澳大利亚,大洋洲,,,,
1.10E+11,1001567,1500478399,0,杜塞尔多夫,德国,欧洲,,,,
1.10E+11,1001568,1499616499,0,布里斯班,澳大利亚,大洋洲,,,,
